player_id,player,team,partidos,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves,g_per90,a_per90,ga_per90,sh_per90,kp_per90,bcc_per90,crosses_per90,int_per90,clr_per90,rec_per90,saves_per90,fouls_per90,fouled_per90,pass_acc_pct,long_ball_pct,cross_acc_pct,dribble_win_pct,tackle_acc_pct,duel_win_pct,aerial_win_pct,conv_rate,sot_rate
1118269,Ignacio Tapia,Ñublense,7,320,1,0,9,4,8,1,1,214,123,88,13,8,16,4,16,7,3,2,1,3,1,26,13,34,1,6,2,1,0,0.28,0.0,0.28,2.53,2.25,0.28,4.5,0.84,0.56,7.31,0.0,1.69,0.56,71.5,61.5,25.0,43.8,33.3,27.7,2.9,11.1,44.4
980882,Yerko González,Deportes Limache,11,982,2,1,8,7,2,1,1,697,440,362,80,41,18,2,10,7,16,62,10,15,15,46,43,26,9,3,6,0,0,0.18,0.09,0.27,0.73,0.18,0.09,1.65,1.47,5.68,4.22,0.0,0.27,0.55,82.3,51.2,11.1,70.0,66.7,62.3,36.6,25.0,87.5
986462,Bryan Ogaz,Universidad de Concepción,8,337,0,1,1,0,2,0,0,248,192,167,16,12,3,0,4,2,5,4,6,9,9,25,27,17,3,5,7,0,0,0.0,0.27,0.27,0.27,0.53,0.0,0.8,1.34,1.07,6.68,0.0,1.34,1.87,87.0,75.0,0.0,50.0,66.7,61.4,34.6,0.0,0.0
1199243,Lautaro Pastrán,Colo-Colo,6,339,0,1,12,4,3,2,0,260,148,117,8,0,12,5,19,8,0,0,5,10,3,19,27,43,1,10,6,0,0,0.0,0.27,0.27,3.19,0.8,0.53,3.19,0.0,0.0,5.04,0.0,2.65,1.59,79.1,0.0,41.7,42.1,50.0,38.6,6.5,0.0,33.3
844271,Sebastián Díaz,Deportes La Serena,7,340,1,0,3,2,1,0,0,213,148,120,14,5,0,0,1,0,8,12,7,17,10,20,29,15,1,6,2,0,0,0.26,0.0,0.26,0.79,0.26,0.0,0.0,2.12,3.18,5.29,0.0,1.59,0.53,81.1,35.7,,0.0,41.2,65.9,40.0,33.3,66.7
805408,Alejandro Camargo,Coquimbo Unido,9,699,2,0,13,9,3,0,0,460,342,292,46,25,4,1,1,0,10,27,13,21,13,26,36,41,4,12,2,0,0,0.26,0.0,0.26,1.67,0.39,0.0,0.52,1.29,3.48,3.35,0.0,1.55,0.26,85.4,54.3,25.0,0.0,61.9,46.8,24.1,15.4,69.2
584418,Gabriel Graciani,Ñublense,10,704,1,1,17,5,10,1,1,393,238,166,8,3,32,9,12,3,2,13,5,9,38,27,53,56,0,12,3,4,0,0.13,0.13,0.26,2.17,1.28,0.13,4.09,0.26,1.66,3.45,0.0,1.53,0.38,69.7,37.5,28.1,25.0,55.6,48.6,40.4,5.9,29.4
874589,Matías Marín,Deportes La Serena,9,366,1,0,6,5,5,0,1,216,128,93,14,9,16,4,11,5,5,4,3,4,3,23,14,26,1,12,2,2,0,0.25,0.0,0.25,1.48,1.23,0.0,3.93,1.23,0.98,5.66,0.0,2.95,0.49,72.7,64.3,25.0,45.5,75.0,35.0,10.3,16.7,83.3
873620,Agustin Nadruz,Cobresal,8,712,2,0,12,6,0,0,0,379,288,231,34,14,0,0,3,2,6,12,13,21,3,31,31,33,5,7,5,0,0,0.25,0.0,0.25,1.52,0.0,0.0,0.0,0.76,1.52,3.92,0.0,0.88,0.63,80.2,41.2,,66.7,61.9,48.4,8.3,16.7,50.0
1482412,Ignacio Vásquez,Universidad de Chile,10,362,0,1,6,1,2,0,0,187,99,74,8,0,15,2,13,5,2,3,2,4,0,11,16,24,0,2,7,3,0,0.0,0.25,0.25,1.49,0.5,0.0,3.73,0.5,0.75,2.73,0.0,0.5,1.74,74.7,0.0,13.3,38.5,50.0,40.0,0.0,0.0,16.7
