player_id,player,team,position,pos_label,partidos
951270,Joaquín Moya,Everton de Viña del Mar,M,Mediocampo,11
956838,Julián Alfaro,Everton de Viña del Mar,F,Delantera,10
1119679,Lucas Soto,Everton de Viña del Mar,M,Mediocampo,8
1469553,Martín Cárcamo,Everton de Viña del Mar,M,Mediocampo,3
2039913,Martín Guzmán,Everton de Viña del Mar,D,Defensa,3
862702,Nicolás Baeza,Everton de Viña del Mar,D,Defensa,11
1864232,Nicolás Montiel,Everton de Viña del Mar,F,Delantera,6
886915,Ramiro González,Everton de Viña del Mar,D,Defensa,11
2462954,Ricardo Rebolledo,Everton de Viña del Mar,M,Mediocampo,3
1508614,Santiago Londoño,Everton de Viña del Mar,F,Delantera,5
1385673,Valentín Vidal,Everton de Viña del Mar,D,Defensa,11
947963,Vicente Fernández,Everton de Viña del Mar,D,Defensa,8
1216169,Vicente Vega,Everton de Viña del Mar,D,Defensa,7
1482376,Benjamín Ampuero,Huachipato,M,Mediocampo,1
1836787,Benjamín Mellado,Huachipato,D,Defensa,5
942703,Carlos Herrera,Huachipato,M,Mediocampo,1
1482395,Christian Bravo,Huachipato,G,Arquero,6
249373,Claudio Sepúlveda,Huachipato,M,Mediocampo,11
1108549,Claudio Torres,Huachipato,M,Mediocampo,6
851968,Cris Martínez,Huachipato,F,Delantera,9
988146,Cristian Toro,Huachipato,D,Defensa,9
1017455,Ezequiel Cañete,Huachipato,M,Mediocampo,11
988078,Harold Antiñirre,Huachipato,M,Mediocampo,7
1997147,Ignacio Cruzat,Huachipato,G,Arquero,5
1656140,Javier Nicolás Cárcamo,Huachipato,M,Mediocampo,6
1106831,José Ignacio Castro,Huachipato,D,Defensa,4
1484208,Juan Figueroa,Huachipato,F,Delantera,5
1177673,Kevin Altez,Huachipato,M,Mediocampo,10
323439,Lionel Altamirano,Huachipato,F,Delantera,11
1482399,Lucas Velásquez,Huachipato,D,Defensa,9
1014798,Luciano Arriagada,Huachipato,F,Delantera,5
1108721,Maicol León,Huachipato,D,Defensa,11
845174,Mario Briceño,Huachipato,F,Delantera,10
2523858,Martín Torrejón,Huachipato,M,Mediocampo,3
