match_id,date,team,player_in_id,player_in,player_out,minute,pm_at_entry,pm_after
15352973,2026-02-21,Huachipato,1017455.0,Ezequiel Cañete,Javier Nicolás Cárcamo,46,-1,2
15352973,2026-02-21,Huachipato,249373.0,Claudio Sepúlveda,Santiago Silva,53,-1,2
15352973,2026-02-21,Huachipato,845174.0,Mario Briceño,Benjamín Mellado,53,-1,2
15352973,2026-02-21,Huachipato,323439.0,Lionel Altamirano,Kevin Altez,79,0,1
15352973,2026-02-21,Palestino,1797930.0,Francisco Montes,Gonzalo Tapia,68,0,-1
15352973,2026-02-21,Palestino,230054.0,Bryan Carrasco,Ian Garguez,68,0,-1
15352973,2026-02-21,Palestino,819017.0,Jonathan Benítez,Jason León,68,0,-1
15352973,2026-02-21,Palestino,2456021.0,Albert Gomez,Sebastián Gallegos,87,-1,0
15352973,2026-02-21,Palestino,1064150.0,Nicolás Meza,Julián Fernández,87,-1,0
15352974,2026-02-08,Huachipato,1106831.0,José Ignacio Castro,Maximiliano Rodríguez,71,0,1
15352974,2026-02-08,Huachipato,1108721.0,Maicol León,Lucas Velásquez,71,0,1
15352974,2026-02-08,Huachipato,1656140.0,Javier Nicolás Cárcamo,Nicolás Vargas,84,1,0
15352974,2026-02-08,Huachipato,1108549.0,Claudio Torres,Ezequiel Cañete,84,1,0
15352974,2026-02-08,Huachipato,2038211.0,Sebastián Melgarejo,Maximiliano Gutiérrez,90,1,0
15352974,2026-02-08,Universidad de Chile,1087387.0,Marcelo Morales,Diego Vargas,59,0,-1
15352974,2026-02-08,Universidad de Chile,906105.0,Maximiliano Guerrero,Javier Altamirano,59,0,-1
15352974,2026-02-08,Universidad de Chile,1482412.0,Ignacio Vásquez,Nicolás Ramírez,84,-1,0
15352975,2026-02-20,Unión La Calera,822444.0,Yerko Leiva,Kevin Méndez,63,0,-1
15352975,2026-02-20,Unión La Calera,1403421.0,Axel Encinas,Joaquín Soto,63,0,-1
15352975,2026-02-20,Unión La Calera,861299.0,Carlo Villanueva,Bayron Oyarzo,88,0,-1
15352975,2026-02-20,Unión La Calera,924528.0,Matías Campos López,Francisco Jose Pozzo,88,0,-1
15352975,2026-02-20,Ñublense,1125913.0,Diego Sanhueza,Gabriel Graciani,63,0,1
15352975,2026-02-20,Ñublense,1518443.0,Franco Rami,Ignacio Jeraldino,63,0,1
15352975,2026-02-20,Ñublense,1396682.0,Lucas Molina,Matías Plaza,71,0,1
15352975,2026-02-20,Ñublense,949422.0,Carlos Salomón,Manuel Rivera,81,0,1
15352975,2026-02-20,Ñublense,962130.0,Fernando Ovelar,Alex Valdés,81,0,1
