player_id,player,team,partidos,minutos,gf_on,ga_on,pm,pm_per90
886915,Ramiro González,Everton de Viña del Mar,4,280.0,3,4,-1,-0.32
877098,Danilo Catalán,Deportes Limache,2,9.0,0,1,-1,-10.0
1108449,Rodrigo Caseres,Unión La Calera,11,990.0,11,12,-1,-0.09
1019924,Elvis Hernández,Coquimbo Unido,3,270.0,4,5,-1,-0.33
116096,Sebastián Gallegos,Palestino,11,938.0,14,15,-1,-0.1
973986,Cristián Zavala,Coquimbo Unido,6,249.0,4,5,-1,-0.36
956838,Julián Alfaro,Everton de Viña del Mar,10,557.0,4,5,-1,-0.16
973993,Erick Wiemberg,Colo-Colo,5,215.0,2,3,-1,-0.42
981333,Dylan Glaby,Coquimbo Unido,9,312.0,4,5,-1,-0.29
2046426,Cristóbal Sepúlveda,Deportes La Serena,2,29.0,0,1,-1,-3.1
951278,Manuel Rivera,Ñublense,11,842.0,6,7,-1,-0.11
883483,Moisés González,Universidad de Concepción,4,182.0,1,2,-1,-0.49
1002945,Nicolás Garrido,O'Higgins,7,630.0,10,11,-1,-0.14
1656140,Javier Nicolás Cárcamo,Huachipato,4,126.0,0,1,-1,-0.71
1906001,Daniel Cordero,Deportes La Serena,1,36.0,0,1,-1,-2.5
1982599,Martín Ramírez,Universidad de Concepción,2,12.0,0,1,-1,-7.5
1997135,Martín Jiménez,Audax Italiano,5,141.0,0,1,-1,-0.64
2462954,Ricardo Rebolledo,Everton de Viña del Mar,1,29.0,0,1,-1,-3.1
1982597,Vicente Cárcamo,Universidad Católica,3,68.0,0,1,-1,-1.32
1836787,Benjamín Mellado,Huachipato,1,53.0,0,1,-1,-1.7
584418,Gabriel Graciani,Ñublense,10,705.0,6,7,-1,-0.13
1798259,Gabriel Pinto,O'Higgins,4,117.0,1,2,-1,-0.77
1503119,Giovanny Avalos,Ñublense,6,307.0,2,3,-1,-0.29
789923,Federico Lanzillotta,Deportes La Serena,11,934.0,12,13,-1,-0.1
333465,Nicolás Avellaneda,Unión La Calera,11,990.0,11,12,-1,-0.09
1114520,Paolo Guajardo,Audax Italiano,10,450.0,5,6,-1,-0.2
872138,Andrés Zanini,Deportes La Serena,7,561.0,7,8,-1,-0.16
861299,Carlo Villanueva,Unión La Calera,3,121.0,1,2,-1,-0.74
844271,Sebastián Díaz,Deportes La Serena,7,360.0,6,7,-1,-0.25
1155908,Matías Pinto,Deportes La Serena,2,21.0,0,1,-1,-4.29
842274,Sebastián Pérez,Palestino,11,990.0,14,15,-1,-0.09
1125923,Gonzalo Tapia,Palestino,7,280.0,2,3,-1,-0.32
1125913,Diego Sanhueza,Ñublense,10,450.0,4,5,-1,-0.2
830940,Nicolás Araya,Deportes Concepción,4,360.0,4,5,-1,-0.25
1469553,Martín Cárcamo,Everton de Viña del Mar,3,58.0,0,1,-1,-1.55
818693,Bernardo Cerezo,Universidad Católica,5,217.0,3,4,-1,-0.41
1108549,Claudio Torres,Huachipato,5,131.0,1,3,-2,-1.37
805305,José Bizama,Palestino,5,400.0,4,6,-2,-0.45
1396682,Lucas Molina,Ñublense,4,185.0,1,3,-2,-0.97
805150,Ronnie Fernández,Palestino,6,365.0,3,5,-2,-0.49
829288,Salvador Cordero,Coquimbo Unido,7,309.0,3,5,-2,-0.58
1973053,Benjamín Valenzuela,Cobresal,6,212.0,4,6,-2,-0.85
1502658,Fernando Dinamarca,Deportes La Serena,5,219.0,3,5,-2,-0.82
386218,Diego Sánchez,Coquimbo Unido,10,900.0,11,13,-2,-0.2
1920586,Mario Sandoval,Audax Italiano,6,198.0,0,2,-2,-0.91
1875021,Bastián Contreras,Deportes La Serena,5,125.0,0,2,-2,-1.44
975291,Leandro Díaz,O'Higgins,7,426.0,7,9,-2,-0.42
2455976,Bastián Sandoval,Deportes La Serena,3,27.0,0,2,-2,-6.67
889498,Manuel Fernández,Coquimbo Unido,9,765.0,10,12,-2,-0.24
39244,Lucas Pratto,Coquimbo Unido,11,413.0,4,6,-2,-0.44
1116992,Antonio Ceza,Palestino,3,75.0,0,2,-2,-2.4
1125882,Harol Salgado,Universidad de Concepción,5,137.0,1,3,-2,-1.31
1485083,Benjamin Schamine,O'Higgins,7,201.0,3,5,-2,-0.9
1482371,Bastián Escobar,Deportes Concepción,2,48.0,1,3,-2,-3.75
1411683,Renato Huerta,Cobresal,4,177.0,3,5,-2,-1.02
804983,Raimundo Rebolledo,Audax Italiano,4,309.0,7,9,-2,-0.58
1650043,Martín Hiriart,Unión La Calera,3,59.0,0,2,-2,-3.05
1086986,Franco Frías,Cobresal,5,130.0,3,5,-2,-1.38
1021117,César Yanis,Cobresal,9,565.0,9,11,-2,-0.32
906112,Oliver Rojas,Audax Italiano,5,236.0,4,6,-2,-0.76
978979,José Sanhueza,Universidad de Concepción,3,270.0,2,4,-2,-0.67
2199269,Benjamín Sáez,Universidad de Concepción,3,129.0,0,2,-2,-1.4
1482287,David Retamal,Universidad de Concepción,6,465.0,4,6,-2,-0.39
1482455,Leenhan Romero,Deportes Concepción,4,72.0,0,2,-2,-2.5
1473443,Diego Monreal,Audax Italiano,5,114.0,0,2,-2,-1.58
761426,Ignacio Jeraldino,Ñublense,11,734.0,6,8,-2,-0.25
230054,Bryan Carrasco,Palestino,9,287.0,5,8,-3,-0.94
889511,Christopher Díaz,Unión La Calera,11,910.0,8,11,-3,-0.3
105971,Enzo Roco,Palestino,5,397.0,4,7,-3,-0.68
1017320,Jason León,Palestino,9,429.0,4,7,-3,-0.63
1002941,Joan Cruz,Unión La Calera,4,95.0,0,3,-3,-2.84
924468,Matías Cavalleri,Deportes Concepción,6,270.0,1,4,-3,-1.0
874589,Matías Marín,Deportes La Serena,9,365.0,3,6,-3,-0.74
975502,Jorge Peña,O'Higgins,1,90.0,1,4,-3,-3.0
2284219,Esteban Páez,Universidad de Concepción,2,155.0,1,4,-3,-1.74
962847,Esteban Valencia,Cobresal,7,203.0,3,6,-3,-1.33
2163290,Cristobal Zambrano,Universidad de Concepción,3,108.0,0,3,-3,-2.5
822444,Yerko Leiva,Unión La Calera,7,342.0,2,5,-3,-0.79
1125898,Ángel Gillard,Deportes Concepción,10,231.0,1,4,-3,-1.17
819005,Cristián Gutiérrez,Unión La Calera,10,469.0,4,7,-3,-0.58
822449,Camilo Moya,Unión La Calera,9,287.0,3,6,-3,-0.94
862702,Nicolás Baeza,Everton de Viña del Mar,9,482.0,2,5,-3,-0.56
2038202,Rodrigo Godoy,O'Higgins,5,86.0,0,3,-3,-3.14
1482396,Cristian Morales,O'Higgins,3,98.0,1,4,-3,-2.76
1409341,Esteban Calderón,O'Higgins,2,79.0,1,4,-3,-3.42
582220,Nicolás Stefanelli,Deportes La Serena,8,302.0,3,6,-3,-0.89
177813,Misael Dávila,Deportes Concepción,8,666.0,5,8,-3,-0.41
942415,Bastián Yáñez,O'Higgins,9,473.0,5,9,-4,-0.76
927110,Alexander Pastene,Unión La Calera,1,90.0,0,4,-4,-4.0
832663,Christian Moreno,Cobresal,8,676.0,9,13,-4,-0.53
819017,Jonathan Benítez,Palestino,8,279.0,4,8,-4,-1.29
1601711,Leandro Hernández,Colo-Colo,10,377.0,2,6,-4,-0.95
334027,Julián Fernández,Palestino,9,659.0,10,14,-4,-0.55
312318,Brayan Véjar,Deportes Concepción,8,395.0,3,7,-4,-0.91
1835777,Benjamin Moreno,Cobresal,5,236.0,2,6,-4,-1.53
991004,Mario Sandoval,Deportes Concepción,6,287.0,3,7,-4,-1.25
939997,Cristhofer Mesías,Universidad de Concepción,10,769.0,7,11,-4,-0.47
987924,Antonio Castillo,Cobresal,4,302.0,5,9,-4,-1.19
985004,Benjamín Rojas,O'Higgins,6,291.0,2,6,-4,-1.24
1022801,Mauricio Vera,Deportes Concepción,2,162.0,0,4,-4,-2.22
1096236,Renzo Malanca,Huachipato,6,540.0,5,9,-4,-0.67
920957,Rodrigo Odriozola,Huachipato,4,360.0,2,7,-5,-1.25
