player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
1906001,Daniel Cordero,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,36.0,0,1,-1
1875021,Bastián Contreras,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,21.0,0,1,-1
1502658,Fernando Dinamarca,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,21.0,0,1,-1
1155908,Matías Pinto,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,21.0,0,1,-1
799653,Rafael Delgado,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,6.0,0,1,-1
1016653,Vicente Bernedo,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
818693,Bernardo Cerezo,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,76.0,1,2,-1
819088,Branco Ampuero,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
896624,Juan Ignacio Díaz,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
117430,Eugenio Mena,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,81.0,1,2,-1
22975,Gary Medel,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
324937,Cristián Cuevas,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
932866,Justo Giani,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
973560,Matías Palavecino,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,76.0,1,2,-1
995388,Clemente Montes,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
828952,Fernando Zampedri,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,90.0,2,2,0
386220,Tomás Asta-Buruaga,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,14.0,1,0,1
1409361,Juan Francisco Rossel,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,14.0,1,0,1
819115,Jhojan Valencia,Universidad Católica,Deportes La Serena,15352951,2026-02-01,Away,9.0,1,0,1
1002740,Santiago Silva Azambuja,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
883483,Moisés González,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
47037,Osvaldo González,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
365990,Leonel González,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
906108,Antonio Díaz,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,63.0,1,0,1
896753,Facundo Mater,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
939997,Cristhofer Mesías,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,72.0,1,0,1
986609,Jorge Espejo,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,72.0,1,0,1
995284,Luis Rojas,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,75.0,1,0,1
1106828,Jeison Fuentealba,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,63.0,1,0,1
159931,Cecilio Waterman,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,90.0,1,0,1
906102,Yerco Oyanedel,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,27.0,0,0,0
965719,Ariel Uribe,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,27.0,0,0,0
2163290,Cristobal Zambrano,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,18.0,0,0,0
986462,Bryan Ogaz,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,18.0,0,0,0
973567,Pablo Parra,Universidad de Concepción,Coquimbo Unido,15352952,2026-01-31,Home,15.0,0,0,0
386218,Diego Sánchez,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
986548,Francisco Salinas,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
1019924,Elvis Hernández,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
986451,Benjamín Gazzolo,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
1096735,Juan Cornejo,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
805408,Alejandro Camargo,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,56.0,0,1,-1
974009,Sebastián Galani,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,90.0,0,1,-1
1125880,Benjamín Chandía,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,64.0,0,1,-1
376740,Guido Vadalá,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,64.0,0,1,-1
1834686,Martín Mundaca,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,57.0,0,1,-1
1643443,Nicolás Johansen,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,57.0,0,1,-1
981333,Dylan Glaby,Coquimbo Unido,Universidad de Concepción,15352952,2026-01-31,Away,34.0,0,0,0
