player_id,player,team,match_id,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves
818693,Bernardo Cerezo,Universidad Católica,15352951,76,0,0,0,0,1,0,0,46,24,13,7,1,3,1,1,0,0,2,1,2,1,1,5,3,0,0,2,0,0
819088,Branco Ampuero,Universidad Católica,15352951,90,0,0,0,0,0,0,0,67,51,43,5,1,0,0,3,2,3,7,0,0,3,6,5,1,0,0,0,0,0
896624,Juan Ignacio Díaz,Universidad Católica,15352951,90,0,0,0,0,2,0,0,85,61,50,14,9,0,0,1,0,6,8,3,4,6,4,11,7,1,2,1,0,0
117430,Eugenio Mena,Universidad Católica,15352951,81,0,0,0,0,2,0,0,41,25,22,3,2,2,1,1,0,1,1,0,0,1,0,1,3,1,1,0,0,0
22975,Gary Medel,Universidad Católica,15352951,90,0,0,0,0,1,0,0,44,39,33,9,4,0,0,0,0,1,0,1,1,0,6,3,0,1,0,2,0,0
324937,Cristián Cuevas,Universidad Católica,15352951,90,0,1,1,1,1,0,1,39,18,15,1,1,2,1,2,0,1,0,1,3,1,0,6,4,1,1,2,0,0
932866,Justo Giani,Universidad Católica,15352951,90,1,0,6,2,2,1,0,50,28,20,2,1,3,0,1,1,0,1,0,0,4,1,9,4,0,0,4,1,0
973560,Matías Palavecino,Universidad Católica,15352951,76,0,0,1,0,2,1,0,54,35,26,5,2,5,0,2,0,0,0,1,1,0,4,3,6,0,4,2,0,0
995388,Clemente Montes,Universidad Católica,15352951,90,0,1,2,1,1,1,0,40,17,13,3,0,5,1,5,1,3,0,0,0,3,5,5,10,0,4,1,0,0
828952,Fernando Zampedri,Universidad Católica,15352951,90,1,0,3,2,0,0,1,27,9,7,1,1,0,0,0,0,0,1,0,0,1,0,4,6,0,4,3,1,0
386220,Tomás Asta-Buruaga,Universidad Católica,15352951,14,0,0,0,0,1,0,0,11,4,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1409361,Juan Francisco Rossel,Universidad Católica,15352951,14,0,0,1,0,0,0,0,11,5,3,1,0,1,0,0,0,0,1,1,1,0,1,1,2,0,1,0,0,0
819115,Jhojan Valencia,Universidad Católica,15352951,9,0,0,0,0,0,0,0,14,10,8,3,3,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
1002740,Santiago Silva Azambuja,Universidad de Concepción,15352952,90,0,0,0,0,0,0,0,35,28,24,8,4,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1
883483,Moisés González,Universidad de Concepción,15352952,90,0,0,2,0,0,0,1,46,35,28,7,3,0,0,0,0,0,2,0,1,2,6,3,4,1,2,0,0,0
47037,Osvaldo González,Universidad de Concepción,15352952,90,0,0,0,0,0,0,0,61,50,44,4,2,0,0,0,0,2,7,0,0,3,2,3,2,0,1,0,0,0
365990,Leonel González,Universidad de Concepción,15352952,90,0,0,0,0,0,0,0,53,36,28,8,3,1,0,0,0,4,3,1,1,1,4,3,4,0,1,1,0,0
906108,Antonio Díaz,Universidad de Concepción,15352952,63,0,1,0,0,1,0,0,35,26,21,1,1,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0
896753,Facundo Mater,Universidad de Concepción,15352952,90,0,0,1,0,3,0,0,65,41,32,4,2,0,0,3,1,2,4,1,4,0,5,7,7,0,0,2,0,0
939997,Cristhofer Mesías,Universidad de Concepción,15352952,72,0,0,2,1,0,0,0,31,25,24,0,0,0,0,0,0,1,0,3,3,0,6,3,1,0,0,0,0,0
986609,Jorge Espejo,Universidad de Concepción,15352952,72,0,0,1,0,2,0,0,40,21,18,1,1,2,0,0,0,1,0,1,1,0,6,4,4,0,0,3,1,0
995284,Luis Rojas,Universidad de Concepción,15352952,75,1,0,2,2,1,0,0,41,27,22,5,1,5,0,4,3,0,0,0,0,0,4,3,4,0,1,0,0,0
1106828,Jeison Fuentealba,Universidad de Concepción,15352952,63,0,0,0,0,3,2,0,46,25,15,4,1,10,5,3,2,0,1,0,0,0,2,5,2,0,0,3,0,0
159931,Cecilio Waterman,Universidad de Concepción,15352952,90,0,0,3,2,0,0,1,32,18,13,0,0,0,0,1,1,0,0,0,0,0,2,1,6,0,1,0,0,0
906102,Yerco Oyanedel,Universidad de Concepción,15352952,27,0,0,0,0,0,0,0,14,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
965719,Ariel Uribe,Universidad de Concepción,15352952,27,0,0,1,0,1,0,0,24,12,8,2,2,4,2,1,0,0,0,0,0,0,1,1,5,0,2,1,0,0
986462,Bryan Ogaz,Universidad de Concepción,15352952,18,0,0,0,0,0,0,0,21,17,12,0,0,0,0,0,0,0,0,1,3,0,3,3,0,1,0,0,0,0
2163290,Cristobal Zambrano,Universidad de Concepción,15352952,18,0,0,0,0,0,0,0,14,8,7,0,0,2,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0
973567,Pablo Parra,Universidad de Concepción,15352952,15,0,0,1,0,0,0,0,10,8,8,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
386218,Diego Sánchez,Coquimbo Unido,15352952,90,0,0,0,0,0,0,0,35,31,15,22,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3
986548,Francisco Salinas,Coquimbo Unido,15352952,51,0,0,0,0,1,1,0,38,23,19,2,1,2,1,0,0,0,2,1,1,1,7,2,4,0,2,0,0,0
1019924,Elvis Hernández,Coquimbo Unido,15352952,90,0,0,1,0,0,0,0,47,36,31,4,3,0,0,0,0,0,3,1,1,1,3,3,0,0,0,1,0,0
986451,Benjamín Gazzolo,Coquimbo Unido,15352952,90,0,0,0,0,1,0,0,68,53,45,7,1,0,0,0,0,1,8,1,3,4,3,7,2,2,0,0,0,0
1096735,Juan Cornejo,Coquimbo Unido,15352952,90,0,0,0,0,1,0,0,75,47,34,12,2,5,1,0,0,1,6,1,2,3,8,6,2,0,1,1,0,0
805408,Alejandro Camargo,Coquimbo Unido,15352952,56,0,0,1,0,0,0,0,40,31,27,6,5,0,0,0,0,2,3,0,1,0,2,1,4,1,1,0,0,0
974009,Sebastián Galani,Coquimbo Unido,15352952,90,0,0,2,0,0,0,0,58,43,38,5,3,1,0,1,0,2,0,1,1,2,3,6,6,0,2,3,0,0
1125880,Benjamín Chandía,Coquimbo Unido,15352952,64,0,0,2,1,0,0,0,33,23,18,2,1,3,0,0,0,1,0,0,0,0,5,1,2,0,1,1,0,0
376740,Guido Vadalá,Coquimbo Unido,15352952,64,0,0,0,0,1,0,0,29,21,15,2,1,0,0,3,1,0,0,0,0,0,3,1,3,0,0,0,0,0
1834686,Martín Mundaca,Coquimbo Unido,15352952,57,0,0,1,0,1,0,1,17,8,5,0,0,0,0,2,0,0,0,1,1,0,3,1,2,0,0,0,0,0
1643443,Nicolás Johansen,Coquimbo Unido,15352952,57,0,0,0,0,0,0,0,12,9,7,0,0,0,0,0,0,0,0,1,1,1,2,3,4,0,2,1,1,0
981333,Dylan Glaby,Coquimbo Unido,15352952,34,0,0,1,0,0,0,0,34,31,30,2,2,0,0,0,0,0,1,1,1,0,2,1,1,0,1,0,0,0
986513,Dylan Escobar,Coquimbo Unido,15352952,33,0,0,0,0,0,0,0,33,15,14,1,1,1,0,0,0,1,2,2,2,0,2,2,0,0,1,0,0,0
852143,Luis Riveros,Coquimbo Unido,15352952,33,0,0,0,0,0,0,0,13,5,4,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
2048673,Pablo Rodríguez,Coquimbo Unido,15352952,26,0,0,0,0,0,0,0,17,9,8,2,2,0,0,1,0,0,0,0,2,0,0,2,6,0,0,0,0,0
