date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-09-27,15:45,Cagliari,Inter,13981459,Xdbsueb,86,0.16279069767441862,0.3372093023255814,0.5,0.9651162790697675,1.7325581395348837,2.697674418604651,0.5930232558139535,0.5116279069767442,0.8255813953488372,1.8372093023255813,10,0.0,0.2,0.8,0.7,2.4,3.1,0.6,0.7,0.2,2.6,5,0.0,0.2,0.8,0.8,2.6,3.4,0.6,0.8,0.2,2.6,76457,Serie A 25/26
2025-09-28,07:30,Sassuolo,Udinese,13981476,VdbsTfb,22,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.8636363636363636,1.2272727272727273,2.090909090909091,0.5454545454545454,0.36363636363636365,1.0,1.5454545454545454,10,0.0,0.5,0.5,0.9,1.8,2.7,0.6,0.5,0.5,2.0,5,0.0,0.8,0.2,1.4,1.8,3.2,1.0,0.6,0.8,1.4,76457,Serie A 25/26
2025-09-28,10:00,Roma,Hellas Verona,13981469,bebsceb,66,0.4696969696969697,0.3333333333333333,0.19696969696969696,1.4242424242424243,0.9545454545454546,2.378787878787879,0.5151515151515151,0.42424242424242425,1.7424242424242424,0.9242424242424242,10,0.5,0.1,0.4,1.7,1.6,3.3,0.7,0.8,1.6,1.3,5,0.6,0.0,0.4,1.4,1.2,2.6,0.6,0.6,1.8,1.2,76457,Serie A 25/26
2025-09-28,10:00,Pisa,Fiorentina,13981467,TdbsMeb,14,0.07142857142857142,0.42857142857142855,0.5,0.5,1.5714285714285714,2.0714285714285716,0.42857142857142855,0.5,0.6428571428571429,1.9285714285714286,10,0.1,0.5,0.4,0.5,1.6,2.1,0.4,0.5,0.8,1.7,5,0.0,0.4,0.6,0.0,2.2,2.2,0.0,0.6,0.4,2.2,76457,Serie A 25/26
2025-09-28,13:00,Lecce,Bologna,13981468,KdbsOdb,32,0.09375,0.40625,0.5,0.8125,1.4375,2.25,0.53125,0.34375,0.6875,1.90625,10,0.1,0.3,0.6,0.9,1.7,2.6,0.4,0.4,0.6,2.1,5,0.0,0.4,0.6,0.6,1.8,2.4,0.4,0.4,0.4,2.2,76457,Serie A 25/26
2025-09-28,15:45,Milan,Napoli,13981472,Rdbsoeb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76457,Serie A 25/26
2025-09-29,13:30,Parma,Torino,13981466,PdbsWdb,36,0.3888888888888889,0.4444444444444444,0.16666666666666666,1.3888888888888888,0.9444444444444444,2.3333333333333335,0.4166666666666667,0.4444444444444444,1.6111111111111112,0.9444444444444444,10,0.2,0.4,0.4,0.8,1.3,2.1,0.4,0.4,1.0,1.6,5,0.0,0.6,0.4,0.6,1.4,2.0,0.4,0.4,0.6,1.8,76457,Serie A 25/26
2025-09-29,15:45,Genoa,Lazio,13981464,Zdbsneb,54,0.2777777777777778,0.2777777777777778,0.4444444444444444,1.1111111111111112,1.6111111111111112,2.7222222222222223,0.5740740740740741,0.5,1.1111111111111112,1.6111111111111112,10,0.1,0.1,0.8,0.9,2.5,3.4,0.5,0.6,0.4,2.5,5,0.2,0.0,0.8,0.4,2.0,2.4,0.2,0.4,0.6,2.4,76457,Serie A 25/26
2025-10-03,15:45,Hellas Verona,Sassuolo,13981481,bebsTfb,18,0.3888888888888889,0.1111111111111111,0.5,1.5,1.5555555555555556,3.0555555555555554,0.6111111111111112,0.5555555555555556,1.2777777777777777,1.6111111111111112,10,0.3,0.1,0.6,1.6,2.0,3.6,0.7,0.7,1.0,1.9,5,0.6,0.0,0.4,1.8,1.6,3.4,0.8,0.8,1.8,1.2,76457,Serie A 25/26
2025-10-04,10:00,Lazio,Torino,13981473,WdbsZdb,80,0.3375,0.4375,0.225,1.2625,1.025,2.2875,0.4875,0.375,1.45,1.1125,10,0.4,0.5,0.1,1.4,0.9,2.3,0.5,0.2,1.7,0.8,5,0.6,0.2,0.2,1.6,0.8,2.4,0.4,0.2,2.0,0.8,76457,Serie A 25/26
