source_url,date,time,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_draw_or_away,decimal_home_or_away,decimal_btts_yes,decimal_btts_no,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,season_id,season_name
https://www.sofascore.com/fc-bayern-munchen-borussia-mgladbach/Cabsxdb,2025-10-25,10:45,Borussia M'gladbach,FC Bayern München,11.0,7.0,1.22,4.0,1.05,1.1,1.4444,2.625,1.0625,10.0,1.2222,4.3333,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-1-fc-koln/wdbsydb,2025-10-25,13:30,Borussia Dortmund,1. FC Köln,1.36,5.25,7.5,1.1,3.0,1.1667,1.75,2.0,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-sc-freiburg/NabsGdb,2025-10-26,11:30,Bayer 04 Leverkusen,SC Freiburg,2.0,3.7,3.5,1.25,1.8333,1.25,1.6667,2.1,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-1-fsv-mainz-05/gbbsCdb,2025-10-26,13:30,VfB Stuttgart,1. FSV Mainz 05,2.88,3.5,2.35,1.6667,1.3636,1.2857,1.5333,2.375,1.1667,5.0,1.6,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-fc-augsburg/acbsydb,2025-10-31,16:30,FC Augsburg,Borussia Dortmund,5.25,4.3333,1.55,2.3,1.1667,1.2,1.6154,2.2,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-vfb-stuttgart/CdbskCo,2025-11-01,11:30,RB Leipzig,VfB Stuttgart,2.1,3.8,3.25,1.3636,1.6667,1.25,1.4,2.75,1.125,6.0,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-heidenheim-eintracht-frankfurt/zdbsKrc,2025-11-01,11:30,1. FC Heidenheim,Eintracht Frankfurt,4.1,4.1,1.8,1.95,1.2222,1.2222,1.5,2.5,1.1429,5.5,1.5,2.625,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-union-berlin-sc-freiburg/NabsXab,2025-11-01,11:30,1. FC Union Berlin,SC Freiburg,2.63,3.2,2.75,1.4,1.4444,1.3636,1.9091,1.9091,1.3636,3.2,2.2,1.6667,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-mgladbach-fc-st-pauli/BabsCab,2025-11-01,11:30,FC St. Pauli,Borussia M'gladbach,2.3,3.4,3.1,1.3636,1.5714,1.2857,1.6667,2.1,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/1-fsv-mainz-05-sv-werder-bremen/Jabsgbb,2025-11-01,11:30,1. FSV Mainz 05,SV Werder Bremen,1.85,3.7,3.9,1.25,1.9091,1.2857,1.5,2.5,1.1429,5.5,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-fc-bayern-munchen/xdbsGdb,2025-11-01,14:30,FC Bayern München,Bayer 04 Leverkusen,1.25,6.5,10.0,1.05,4.3333,1.1,1.7,2.05,1.1111,6.5,1.3636,3.2,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-1-fc-koln/wdbsBdb,2025-11-02,11:30,1. FC Köln,Hamburger SV,2.4,3.7,2.75,1.4,1.5,1.2857,1.5333,2.375,1.2,4.5,1.6667,2.2,77333,Bundesliga 25/26
https://www.sofascore.com/tsg-hoffenheim-vfl-wolfsburg/zabsubb,2025-11-02,13:30,VfL Wolfsburg,TSG Hoffenheim,2.7,3.75,2.38,1.5714,1.4,1.25,1.4,2.75,1.125,6.0,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/sv-werder-bremen-vfl-wolfsburg/zabsJab,2025-11-07,16:30,SV Werder Bremen,VfL Wolfsburg,2.15,3.6,3.1,1.3333,1.7,1.2857,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/fc-bayern-munchen-1-fc-union-berlin/Xabsxdb,2025-11-08,11:30,1. FC Union Berlin,FC Bayern München,11.0,6.5,1.22,4.0,1.05,1.1111,1.9091,1.9091,1.1,7.0,1.3636,3.2,77333,Bundesliga 25/26
